Brand,Model,Version,Transmission,Year,Age,Sex,Policy,Insurance_company,Price
Nissan,VERSA,ADVANCE,Aut,2012,35,H,Limitada,ANA,"5,615.03"
Nissan,VERSA,ADVANCE,Aut,2012,35,H,Limitada,AIG,"5,616.80"
Nissan,VERSA,ADVANCE,Aut,2012,35,H,Limitada,Inbursa,"5,646.54"
Nissan,VERSA,ADVANCE,Aut,2012,35,H,Limitada,GNP,"6,938.06"
Nissan,VERSA,ADVANCE,Aut,2012,35,H,RC,AXA,"2,557.04"
Nissan,VERSA,ADVANCE,Aut,2012,35,H,RC,HDI,"2,971.03"
Nissan,VERSA,ADVANCE,Aut,2012,35,H,RC,ABA,"3,295.59"
Nissan,VERSA,ADVANCE,Aut,2012,35,H,RC,Inbursa,"3,553.63"
Nissan,VERSA,ADVANCE,Aut,2012,35,H,RC,Zurich,"3,686.27"
Nissan,VERSA,ADVANCE,Aut,2012,35,H,RC,Mapfre,"3,788.72"
Nissan,VERSA,ADVANCE,Aut,2012,35,H,RC,Seguros Atlas,"4,541.76"
Nissan,VERSA,ADVANCE,Aut,2012,35,H,RC,Qualitas,"4,634.84"
Nissan,VERSA,ADVANCE,Aut,2012,35,H,RC,ANA,"4,764.78"
Nissan,VERSA,ADVANCE,Aut,2012,35,H,RC,AIG,"5,176.33"
Nissan,VERSA,ADVANCE,Aut,2012,35,H,RC,GNP,"6,863.75"
Nissan,VERSA,ADVANCE,Aut,2012,40,H,Amplia,ABA,"5,148.48"
Nissan,VERSA,ADVANCE,Aut,2012,40,H,Amplia,Mapfre,"5,272.24"
Nissan,VERSA,ADVANCE,Aut,2012,40,H,Amplia,Seguros Atlas,"5,622.20"
Nissan,VERSA,ADVANCE,Aut,2012,40,H,Amplia,Zurich,"5,625.18"
Nissan,VERSA,ADVANCE,Aut,2012,40,H,Amplia,AXA,"5,889.88"
Nissan,VERSA,ADVANCE,Aut,2012,40,H,Amplia,AIG,"6,134.65"
Nissan,VERSA,ADVANCE,Aut,2012,40,H,Amplia,ANA,"6,353.21"
